name,platform,publisher,genre,sales_year,country,weeks,yearly,total,img,publisher_country
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,Global,8,12561893,12561893,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,Global,8,10320405,10320405,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Black Ops,X360,Activision,Shooter,2011,Global,60,2665288,13186555,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg,USA
Call of Duty: Black Ops,PS3,Activision,Shooter,2011,Global,60,2459689,11165574,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2011,Global,12,1118799,1118799,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2011,Global,8,1067168,1067168,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,USA,8,7174891,7174891,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,USA,8,4137822,4137822,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Black Ops,X360,Activision,Shooter,2011,USA,60,1637372,8011212,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg,USA
Call of Duty: Black Ops,PS3,Activision,Shooter,2011,USA,60,1112473,5009349,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg,USA
Wipeout: The Game,Wii,Activision,Misc,2011,USA,80,745741,1235005,https://www.vgchartz.com/games/boxart/full_8800849AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,Europe,8,3852615,3852615,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,Europe,8,3497745,3497745,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2011,Europe,8,610232,610232,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2011,Europe,12,556659,556659,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Moshi Monsters: Moshling Zoo,DS,Activision,Misc,2011,Europe,8,497234,497234,https://www.vgchartz.com/games/boxart/full_432468AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,X360,Activision,Action,2011,Europe,12,173010,173010,https://www.vgchartz.com/games/boxart/default.jpg,USA
Goldeneye 007: Reloaded,PS3,Activision,Shooter,2011,Europe,9,161539,161539,https://www.vgchartz.com/games/boxart/full_goldeneye-007-reloaded_230AmericaFront.jpg,USA
StarCraft II: Wings of Liberty,PC,Activision,Strategy,2011,Europe,75,151599,957266,https://www.vgchartz.com/games/boxart/full_starcraft-ii-wings-of-liberty_3AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,UK,8,1789399,1789399,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,UK,8,1238402,1238402,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Moshi Monsters: Moshling Zoo,DS,Activision,Misc,2011,UK,8,216232,216232,https://www.vgchartz.com/games/boxart/full_432468AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2011,UK,12,102094,102094,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,X360,Activision,Action,2011,UK,12,78160,78160,https://www.vgchartz.com/games/boxart/default.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2011,UK,8,61612,61612,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
Goldeneye 007: Reloaded,PS3,Activision,Shooter,2011,UK,9,53268,53268,https://www.vgchartz.com/games/boxart/full_goldeneye-007-reloaded_230AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,Germany,8,476659,476659,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2011,Germany,8,280393,280393,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,Germany,8,230006,230006,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2011,Germany,12,92315,92315,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,PS3,Activision,Action,2011,Germany,12,34668,34668,https://www.vgchartz.com/games/boxart/full_9829819AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2011,France,8,697933,697933,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2011,France,8,309548,309548,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2011,France,12,200340,200340,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Moshi Monsters: Moshling Zoo,DS,Activision,Misc,2011,France,8,138130,138130,https://www.vgchartz.com/games/boxart/full_432468AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2011,France,8,56232,56232,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
Lalaloopsy,DS,Activision,Simulation,2011,France,7,48058,48058,https://www.vgchartz.com/games/boxart/full_lalaloopsy_622AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,Wii,Activision,Shooter,2011,France,8,27525,27525,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_824AmericaFront.jpg,USA
Call of Duty: Black Ops II,X360,Activision,Shooter,2012,Global,7,10425836,10425836,https://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg,USA
Call of Duty: Black Ops II,PS3,Activision,Shooter,2012,Global,7,8761145,8761145,https://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png,USA
Diablo III,PC,Activision,Role-Playing,2012,Global,33,2932288,2932288,https://www.vgchartz.com/games/boxart/full_diablo-iii_550AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2012,Global,60,2209581,12165203,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2012,Global,60,2177827,13705821,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Skylanders Giants,Wii,Activision,Action,2012,Global,11,1700240,1700240,https://www.vgchartz.com/games/boxart/full_3194680AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2012,Global,64,1254967,2355488,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
World of Warcraft: Mists of Pandaria,PC,Activision,Role-Playing,2012,Global,14,1176920,1176920,https://www.vgchartz.com/games/boxart/full_9606792AmericaFrontccc.jpg,USA
Skylanders Giants,X360,Activision,Action,2012,Global,11,873338,873338,https://www.vgchartz.com/games/boxart/full_4720639AmericaFrontccc.jpg,USA
Call of Duty: Black Ops II,PC,Activision,Shooter,2012,Global,7,793027,793027,https://www.vgchartz.com/games/boxart/full_110395PALFrontccc.jpg,USA
Call of Duty: Black Ops II,X360,Activision,Shooter,2012,USA,7,5905481,5905481,https://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg,USA
Call of Duty: Black Ops II,PS3,Activision,Shooter,2012,USA,7,3505858,3505858,https://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png,USA
Diablo III,PC,Activision,Role-Playing,2012,USA,33,1407243,1407243,https://www.vgchartz.com/games/boxart/full_diablo-iii_550AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2012,USA,60,1279558,7764449,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
Skylanders Giants,Wii,Activision,Action,2012,USA,10,981178,981178,https://www.vgchartz.com/games/boxart/full_3194680AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2012,USA,60,864202,4782024,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2012,USA,63,660546,1061339,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Skylanders Giants,X360,Activision,Action,2012,USA,10,507149,507149,https://www.vgchartz.com/games/boxart/full_4720639AmericaFrontccc.jpg,USA
World of Warcraft: Mists of Pandaria,PC,Activision,Role-Playing,2012,USA,14,479203,479203,https://www.vgchartz.com/games/boxart/full_9606792AmericaFrontccc.jpg,USA
Wipeout: The Game,Wii,Activision,Misc,2012,USA,132,386939,1621944,https://www.vgchartz.com/games/boxart/full_8800849AmericaFrontccc.jpg,USA
Call of Duty: Black Ops II,PS3,Activision,Shooter,2012,Europe,7,4086250,4086250,https://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png,USA
Call of Duty: Black Ops II,X360,Activision,Shooter,2012,Europe,7,3307094,3307094,https://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg,USA
Diablo III,PC,Activision,Role-Playing,2012,Europe,33,1051813,1051813,https://www.vgchartz.com/games/boxart/full_diablo-iii_550AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,2012,Europe,60,875923,5163344,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,USA
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,2012,Europe,60,561942,3920477,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,USA
World of Warcraft: Mists of Pandaria,PC,Activision,Role-Playing,2012,Europe,14,500888,500888,https://www.vgchartz.com/games/boxart/full_9606792AmericaFrontccc.jpg,USA
Skylanders Giants,Wii,Activision,Action,2012,Europe,11,487436,487436,https://www.vgchartz.com/games/boxart/full_3194680AmericaFrontccc.jpg,USA
Skylanders: Spyro's Adventure,Wii,Activision,Action,2012,Europe,64,422103,930174,https://www.vgchartz.com/games/boxart/full_759100AmericaFrontccc.jpg,USA
Call of Duty: Black Ops II,PC,Activision,Shooter,2012,Europe,7,391556,391556,https://www.vgchartz.com/games/boxart/full_110395PALFrontccc.jpg,USA
Moshi Monsters: Moshling Zoo,DS,Activision,Misc,2012,Europe,60,311340,767758,https://www.vgchartz.com/games/boxart/full_432468AmericaFrontccc.jpg,USA
Call of Duty: Modern Warfare 3,PC,Activision,Shooter,2012,Europe,60,304847,862379,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_640AmericaFront.jpg,USA
